Equilibrium Type,Allow Abandon and Defaults,CARA Alpha,Costs Multiplier,Court Signal Sigma,Damages Signal Shaping,Detailed Signal Reporting,Fee Regime,Fee Shifting Multiplier,Fee Shifting Rule,Fee Shifting Trigger,Fees After Nonanswer,Filing and Answering,Information Level,Integration Method,Issue,Liability Signal Shaping,Noise to Produce Case Strength,Number of Court Signals,Number of Offers,Number of Signals,Party Signal Sigma,Probability Truly Liable,Proportion of Costs at Beginning,Quadrature Order,Quality Distribution,Quality-Truth Link,Relative Costs,Risk Aversion,Signal Structure,Specification,Filter,GroupName,OptionSetName,Exploitability,Calculation Time,P Files,D Answers,P Offer,D Offer,Trial,P Win Probability,P Wealth,D Wealth,Total Wealth,Wealth Loss,P Welfare,D Welfare,Pre-Dispute Social Welfare Loss,Social Welfare Loss,Opportunity Cost,Harm Cost,Truly Liable Harm Cost,Truly Not Liable Harm Cost,Expenditures,Defendant Excess Net Monetary Burden,Plaintiff Net Recovery Shortfall,Value If Settled,No Suit,No Answer,Settles,P Abandons,D Defaults,Mutual Give-Up Probability Before 50/50 Allocation,P Loses,P Wins,Appropriation,Reaches Bargaining,Settlement Unconditional,Settlement Conditional on Reaching Bargaining,Real Litigation Costs,Liability Transfer to Plaintiff,Fee-Shifting Transfer to Plaintiff,Total Net Transfer to Plaintiff,Meritorious-Plaintiff Net Recovery Shortfall,Nonliable-Defendant Net Burden,Liable-Defendant Excess Net Burden Above Damages,Net Outcome Fidelity Loss
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,1,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs sunk before bargaining plus moderate risk aversion,All,,Specification-AllCostsSunkModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,-5.1160000000000006E-13,518,1,1,0.52156100000000005,0.42504599999999998,0.32891199999999998,0.54188899999999995,10.4085,9.4414999999999996,19.850000000000001,0.14999999999999999,1000.0700000000001,999.38499999999999,0,0.14999999999999999,0,0,0,0,0.14999999999999999,0.20883199999999999,0.20407600000000001,0.45179900000000001,0,0,0.67108800000000002,0,0,0,0.15067800000000001,0.178234,0,1,0.671088,0.671088,0.14999999999999999,0.481430887312,0.0020667,0.483497587312,0.408157,0.375157,0.0425025,0.412908
Only Eq,true,2,0.5,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,1,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs sunk before bargaining plus moderate risk aversion,All,,Specification-AllCostsSunkModerateRiskAversion__Cost-0.5__Fee-British__ExitFees-AllUnilateralExits,-1.1369999999999999E-13,632,0.91954999999999998,0.91954999999999998,0.56209100000000001,0.54295000000000004,0.21128,0.481402,10.3667,9.3573900000000005,19.7241,0.27586500000000003,1000.0700000000001,999.25699999999995,0,0.27586500000000003,0,0,0,0,0.27586500000000003,0.26837800000000001,0.23649899999999999,0.570604,0.080449999999999994,0,0.70826999999999996,0,0,0,0.109569,0.101711,0,0.91955,0.70827,0.770235441248437,0.27586500000000003,0.50585269508,-0.0011787,0.50467399508,0.473004,0.465813,0.0709369,0.504877
Only Eq,true,2,1,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,1,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs sunk before bargaining plus moderate risk aversion,All,,Specification-AllCostsSunkModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits,1.1369999999999999E-13,1245,0.80847999999999998,0.80847999999999998,0.49129499999999998,0.69205899999999998,0.063633999999999996,0.50006200000000001,10.2356,9.2793299999999999,19.514900000000001,0.48508800000000002,1000.05,999.09400000000005,0,0.48508800000000002,0,0,0,0,0.48508800000000002,0.30618099999999998,0.32493699999999998,0.59918300000000002,0.19152,0,0.74484600000000001,0,0,0,0.031813099999999997,0.031821000000000002,0,0.80848,0.744846,0.921291806847417,0.48508800000000002,0.478120060818,0.00000237,0.478122430818,0.649883,0.53459,0.0777656,0.631118
Only Eq,true,2,2,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,1,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs sunk before bargaining plus moderate risk aversion,All,,Specification-AllCostsSunkModerateRiskAversion__Cost-2__Fee-British__ExitFees-AllUnilateralExits,5.6840000000000001E-14,898,0.735128,0.735128,0.65000000000000002,0.64843200000000001,0.001921,0.13900100000000001,10.0349,9.0829000000000004,19.117799999999999,0.88215299999999996,1000.01,998.46600000000001,0,0.88215299999999996,0,0,0,0,0.88215299999999996,0.47318900000000003,0.47809299999999999,0.65000000000000002,0.264872,0,0.73320600000000002,0,0,0,0.0016540599999999999,0.00026699999999999998,0,0.735128,0.733206,0.997385489329749,0.88215299999999996,0.4768509,-0.000832236,0.476018664,0.956198,0.724228,0.222143,0.951282
Only Eq,true,2,4,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,1,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs sunk before bargaining plus moderate risk aversion,All,,Specification-AllCostsSunkModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits,0,134,0,0,,,0,,10,10,20,0,1000,1000,0,0,0,0,0,0,0,0,0.49999300000000002,,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0.499993
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,1,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs sunk before bargaining,All,,Specification-AllCostsSunk__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,4.4410000000000002E-15,257,0.82186999999999999,0.82186999999999999,0.94999999999999996,0.21071999999999999,0.74184000000000005,0.54887600000000003,10.427,9.4497099999999996,19.8767,0.123281,10.427,9.4497099999999996,0,0.123281,0,0,0,0,0.123281,0.199432,0.17507300000000001,0.94999999999999996,0.17813000000000001,0,0.080030299999999999,0,0,0,0.33466099999999999,0.40717799999999998,0,0.82187,0.0800303,0.0973758623626608,0.123281,0.483206785,0.005438775,0.48864556,0.35015,0.310496,0.0883657,0.374505
Only Eq,true,0,0.5,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,1,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs sunk before bargaining,All,,Specification-AllCostsSunk__Cost-0.5__Fee-British__ExitFees-AllUnilateralExits,7.9940000000000001E-15,255,0.71569000000000005,0.71569000000000005,0.94999999999999996,0.32285700000000001,0.54156899999999997,0.55996400000000002,10.3711,9.4142299999999999,19.785299999999999,0.21470700000000001,10.3711,9.4142299999999999,0,0.21470700000000001,0,0,0,0,0.21470700000000001,0.236927,0.20688100000000001,0.94999999999999996,0.28431000000000001,0,0.174121,0,0,0,0.23830999999999999,0.303259,0,0.71569,0.174121,0.243291089717615,0.21470700000000001,0.46867395,0.00974235,0.4784163,0.413767,0.321892,0.15196,0.443808
Only Eq,true,0,1,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,1,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs sunk before bargaining,All,,Specification-AllCostsSunk__Cost-1__Fee-British__ExitFees-AllUnilateralExits,-4.4410000000000002E-15,233,0.60758999999999996,0.60758999999999996,0.94999999999999996,0.45451599999999998,0.34428799999999998,0.56819600000000003,10.2776,9.3578799999999998,19.635400000000001,0.36455399999999999,10.2776,9.3578799999999998,0,0.36455399999999999,0,0,0,0,0.36455399999999999,0.30127999999999999,0.26946799999999999,0.94999999999999996,0.39240999999999998,0,0.26330199999999998,0,0,0,0.14866499999999999,0.19562299999999999,0,0.60759,0.263302,0.433354729340509,0.36455399999999999,0.4457599,0.0140874,0.4598473,0.538943,0.341775,0.260785,0.570748
Only Eq,true,0,2,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,1,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs sunk before bargaining,All,,Specification-AllCostsSunk__Cost-2__Fee-British__ExitFees-AllUnilateralExits,-8.8820000000000011E-16,205,0.49998999999999999,0.49998999999999999,0.94999999999999996,0.736267,0.118738,0.499996,10.121600000000001,9.2784499999999994,19.399999999999999,0.59998799999999997,10.121600000000001,9.2784499999999994,0,0.59998799999999997,0,0,0,0,0.59998799999999997,0.392233,0.389901,0.94999999999999996,0.50000999999999995,0,0.38125199999999998,0,0,0,0.059369499999999999,0.059368600000000001,0,0.49999,0.381252,0.762519250385008,0.59998799999999997,0.421558,-0.00000054,0.42155746,0.779812,0.375782,0.408685,0.782134
Only Eq,true,0,4,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,1,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs sunk before bargaining,All,,Specification-AllCostsSunk__Cost-4__Fee-British__ExitFees-AllUnilateralExits,0,254,0,0,,,0,,10,10,20,0,10,10,0,0,0,0,0,0,0,0,0.49999300000000002,,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0.499993
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,All,,Specification-Baseline__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,8.8820000000000011E-16,3,1,1,0.78968300000000002,0.210309,0.64523799999999998,0.49999399999999999,10.4383,9.4383099999999995,19.8766,0.123393,10.4383,9.4383099999999995,0,0.123393,0,0,0,0,0.123393,0.20179,0.169736,0.49998900000000002,0,0,0.35476200000000002,0,0,0,0.32262299999999999,0.32261499999999999,0,1,0.354762,0.354762,0.123393,0.499992097618,-0.0000006,0.499991497618,0.339476,0.339465,0.0641123,0.371526
Only Eq,true,0,0.5,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,All,,Specification-Baseline__Cost-0.5__Fee-British__ExitFees-AllUnilateralExits,-8.8820000000000011E-16,4,0.71569000000000005,0.71569000000000005,0.94999999999999996,0.39651999999999998,0.44122499999999998,0.49999500000000002,10.394600000000001,9.4318799999999996,19.826499999999999,0.173537,10.394600000000001,9.4318799999999996,0,0.173537,0,0,0,0,0.173537,0.20885999999999999,0.191968,0.94999999999999996,0.28431000000000001,0,0.27446500000000001,0,0,0,0.22061500000000001,0.22061,0,0.71569,0.274465,0.383497044809904,0.173537,0.48135175,-0.00000075,0.481351,0.38394,0.322292,0.0954261,0.400828
Only Eq,true,0,1,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,All,,Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits,1.7760000000000001E-15,4,0.60758999999999996,0.60758999999999996,0.94999999999999996,0.58299400000000001,0.25620500000000002,0.49999700000000002,10.3323,9.4085099999999997,19.7409,0.25913799999999998,10.3323,9.4085099999999997,0,0.25913799999999998,0,0,0,0,0.25913799999999998,0.23929800000000001,0.231817,0.94999999999999996,0.39240999999999998,0,0.351385,0,0,0,0.12810299999999999,0.12810199999999999,0,0.60759,0.351385,0.578325844730822,0.25913799999999998,0.46191775,-0.0000003,0.46191745,0.46364,0.329045,0.149548,0.471115
Only Eq,true,0,1,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,15,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,All,,Specification-Baseline__Cost-1__Fee-British__ExitFees-AllUnilateralExits__Offers-15,2.6650000000000001E-15,649,0.60758999999999996,0.60758999999999996,0.96666700000000005,0.59653100000000003,0.25620500000000002,0.49999700000000002,10.338200000000001,9.4026599999999991,19.7409,0.25913799999999998,10.338200000000001,9.4026599999999991,0,0.25913799999999998,0,0,0,0,0.25913799999999998,0.24515400000000001,0.22726499999999999,0.96666700000000005,0.39240999999999998,0,0.351385,0,0,0,0.12810299999999999,0.12810199999999999,0,0.60759,0.351385,0.578325844730822,0.25913799999999998,0.467774283795,-0.0000003,0.467773983795,0.454537,0.331655,0.158651,0.472419
Only Eq,true,0,2,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,All,,Specification-Baseline__Cost-2__Fee-British__ExitFees-AllUnilateralExits,8.8820000000000011E-16,3,0.528837,0.528837,0.94999999999999996,0.75050899999999998,0.10222000000000001,0.48069000000000001,10.244,9.3773800000000005,19.621400000000001,0.37863400000000003,10.244,9.3773800000000005,0,0.37863400000000003,0,0,0,0,0.37863400000000003,0.28246500000000002,0.29656500000000002,0.94999999999999996,0.471163,0,0.41161700000000001,0.0150007,0,0,0.0530838,0.049135999999999999,0,0.528837,0.411617,0.778343799696315,0.37863400000000003,0.44017215,-0.00686889,0.43330326,0.593137,0.339609,0.225319,0.57903
Only Eq,true,0,4,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,Baseline,All,,Specification-Baseline__Cost-4__Fee-British__ExitFees-AllUnilateralExits,3.5529999999999999E-15,5,0.44045400000000001,0.44045400000000001,0.94999999999999996,0.86877000000000004,0.028899999999999999,0.46667599999999998,10.1037,9.3330599999999997,19.436800000000002,0.56322499999999998,10.1037,9.3330599999999997,0,0.56322499999999998,0,0,0,0,0.56322499999999998,0.35681400000000002,0.40567900000000001,0.94999999999999996,0.55954599999999999,0,0.40070099999999997,0.0108537,0,0,0.0154129,0.0134868,0,0.440454,0.400701,0.90974539906551,0.56322499999999998,0.39415275,-0.00882354,0.38532921,0.811369,0.343871,0.369757,0.762493
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0.5,64,Beta(2-2) continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,Center-weighted continuous merits plus moderate risk aversion,All,,Specification-CenterWeightedContinuousMeritsModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,1.7050000000000001E-13,413,1,1,0.48172799999999999,0.55850599999999995,0.11057500000000001,0.40420499999999998,10.4649,9.4518199999999997,19.916699999999999,0.083293099999999995,1000.1,999.55100000000004,0,0.083293099999999995,0,0,0,0,0.083293099999999995,0.24271999999999999,0.23182,0.53837500000000005,0,0,0.86265400000000003,0.0267719,0,0,0.065879800000000002,0.0446948,0,1,0.862654,0.862654,0.083293099999999995,0.50912614725,-0.00259282125,0.506533326,0.463645,0.477843,0.0075933,0.47454
